f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,id,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month
House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,65.0,2.0,1.0,93.0,6.0,1.0,0.9,0.0,6.0,1.0,197.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,65.0,14226923,Hackney,moderate,Entire home/apt,House,4.174387269895637,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,1.9459101490553128,1.0,5.288267030694535,27.965768187930795,147.89044989628047,38809.0,7645373.0,4.532599493153256,3.0,0,0,0
House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,200.0,6.0,2.0,90.0,4.0,1.0,0.21,0.0,3.0,3.0,562.0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,200.0,6734124,Hackney,strict,Entire home/apt,House,5.298317366548036,36.0,1.791759469228055,3.210401995568401,1.0986122886681098,2.0,1.6094379124341005,1.0,6.333279628139691,40.11043084820922,254.03057456686923,315844.0,177504328.0,4.499809670330265,3.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,60.0,2.0,1.0,87.0,6.0,2.0,0.77,20.0,2.0,1.0,234.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,60.0,13258728,Hackney,flexible,Entire home/apt,Apartment,4.0943445622221,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,1.9459101490553128,1.0,5.459585514144159,29.80707398625274,162.73426935436865,54756.0,12812904.0,4.465908118654584,2.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,63.0,4.0,1.0,73.0,10.0,1.0,3.53,0.0,1.0,2.0,84.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,63.0,16234533,Hackney,strict,Entire home/apt,Apartment,4.143134726391533,16.0,1.3862943611198906,1.9218120556728056,0.6931471805599453,1.0,2.3978952727983707,1.0,4.442651256490317,19.737150186794988,87.68527507690285,7056.0,592704.0,4.290459441148391,1.0,0,0,0
House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,110.0,5.0,1.0,100.0,1.0,1.0,0.15,0.0,2.0,4.0,202.0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,110.0,6673477,Hackney,strict,Entire home/apt,House,4.700480365792417,25.0,1.6094379124341005,2.590290393980234,1.3862943611198906,1.0,0.6931471805599453,1.0,5.313205979041787,28.230157775725395,149.99264308327716,40804.0,8242408.0,4.605170185988092,2.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,100.0,2.0,1.0,100.0,1.0,1.0,0.06,0.0,3.0,1.0,490.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,100.0,8776239,Hackney,strict,Entire home/apt,Apartment,4.605170185988092,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.6931471805599453,1.0,6.19644412779452,38.395919828879194,237.91817195492766,240100.0,117649000.0,4.605170185988092,3.0,0,0,0
House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,185.0,4.0,1.0,100.0,1.0,1.0,0.48,0.0,3.0,2.0,61.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,185.0,14469075,Hackney,flexible,Entire home/apt,House,5.220355825078324,16.0,1.3862943611198906,1.9218120556728056,0.6931471805599453,1.0,0.6931471805599453,1.0,4.127134385045092,17.033238232221528,70.29846319686614,3721.0,226981.0,4.605170185988092,3.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,60.0,2.0,1.0,97.0,13.0,2.0,0.89,10.0,2.0,1.0,439.0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,60.0,9672832,Hackney,strict,Entire home/apt,Apartment,4.0943445622221,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,2.6390573296152584,1.0,6.0867747269123065,37.048826576178385,225.50786126563958,192721.0,84604519.0,4.574710978503383,2.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100.0,4.0,1.5,96.0,0.0,1.0,0.52,0.0,1.0,1.0,405.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,100.0,5016435,Hackney,flexible,Entire home/apt,Apartment,4.605170185988092,16.0,1.3862943611198906,1.9218120556728056,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,1.0,1,1,1
Apartment,Private room,Private,strict,Real Bed,Hackney,39.0,2.0,1.5,96.0,0.0,1.0,0.52,0.0,2.0,1.0,405.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,39.0,605703,Hackney,strict,Private room,Apartment,3.6635616461296463,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,2.0,1,1,1
Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,80.0,2.0,1.0,100.0,2.0,1.0,0.3,0.0,5.0,2.0,197.0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,80.0,14149309,Hackney,flexible,Entire home/apt,Apartment,4.382026634673881,4.0,0.6931471805599453,0.4804530139182014,0.6931471805599453,1.0,1.0986122886681098,1.0,5.288267030694535,27.965768187930795,147.89044989628047,38809.0,7645373.0,4.605170185988092,3.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,75.0,2.0,1.0,90.0,2.0,1.0,0.23,0.0,2.0,1.0,262.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,75.0,4425451,Hackney,strict,Entire home/apt,Apartment,4.31748811353631,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,1.0986122886681098,1.0,5.572154032177765,31.048900558314923,173.00925644070094,68644.0,17984728.0,4.499809670330265,2.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,85.0,2.0,1.0,100.0,4.0,1.0,0.7,0.0,2.0,1.0,170.0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,85.0,14439834,Hackney,moderate,Entire home/apt,Apartment,4.442651256490317,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,1.6094379124341005,1.0,5.14166355650266,26.436704128267586,135.92863817035686,28900.0,4913000.0,4.605170185988092,2.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,50.0,2.0,1.0,100.0,1.0,1.0,0.17,0.0,3.0,1.0,171.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,50.0,14848535,Hackney,strict,Entire home/apt,Apartment,3.912023005428146,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.6931471805599453,1.0,5.147494476813453,26.496699388825,136.39161375776308,29241.0,5000211.0,4.605170185988092,3.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,95.0,3.0,1.0,94.0,8.0,1.0,0.54,0.0,1.0,1.0,447.0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,95.0,4902188,Hackney,flexible,Entire home/apt,Apartment,4.553876891600541,9.0,1.0986122886681098,1.206948960812582,0.0,1.0,2.19722457733622,1.0,6.104793232414985,37.2685004105398,227.51648908851845,199809.0,89314623.0,4.543294782270004,1.0,0,0,0
House,Private room,Private,flexible,Real Bed,Hackney,60.0,2.0,2.0,87.0,11.0,1.0,0.38,10.0,1.0,1.0,861.0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,60.0,4155031,Hackney,flexible,Private room,House,4.0943445622221,4.0,0.6931471805599453,0.4804530139182014,0.0,2.0,2.4849066497880004,1.0,6.759255270663693,45.68753181399491,308.81369021736026,741321.0,638277381.0,4.465908118654584,1.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,115.0,4.0,1.0,99.0,28.0,2.0,1.66,20.0,5.0,2.0,505.0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,115.0,8358620,Hackney,strict,Entire home/apt,Apartment,4.74493212836325,16.0,1.3862943611198906,1.9218120556728056,0.6931471805599453,1.0,3.367295829986474,1.0,6.226536669287466,38.76975889398145,241.40132541280934,255025.0,128787625.0,4.59511985013459,3.0,0,0,0
Apartment,Private room,Private,flexible,Real Bed,Hackney,51.0,2.0,1.0,90.0,2.0,1.0,0.29,25.0,5.0,1.0,204.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,51.0,14151105,Hackney,flexible,Private room,Apartment,3.9318256327243257,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,1.0986122886681098,1.0,5.3230099791384085,28.334435238007078,150.82448152516264,41616.0,8489664.0,4.499809670330265,3.0,0,0,0
Apartment,Private room,Private,moderate,Real Bed,Hackney,75.0,2.0,1.0,100.0,8.0,1.0,1.28,0.0,3.0,1.0,187.0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,75.0,3410937,Hackney,moderate,Private room,Apartment,4.31748811353631,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,2.19722457733622,1.0,5.236441962829949,27.42032443008637,143.58493748011549,34969.0,6539203.0,4.605170185988092,3.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,58.0,2.0,1.0,85.0,12.0,1.0,0.38,0.0,5.0,1.0,946.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,58.0,3478270,Hackney,flexible,Entire home/apt,Apartment,4.060443010546419,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,2.5649493574615367,1.0,6.853299093186078,46.96770846066512,321.8837538025044,894916.0,846590536.0,4.442651256490317,3.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,90.0,6.0,1.0,96.0,0.0,1.0,0.52,0.0,5.0,2.0,405.0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,90.0,11643006,Hackney,flexible,Entire home/apt,Apartment,4.499809670330265,36.0,1.791759469228055,3.210401995568401,0.6931471805599453,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,3.0,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,65.0,2.0,1.0,96.0,36.0,1.0,0.67,0.0,3.0,1.0,1614.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,65.0,605812,Hackney,strict,Entire home/apt,Apartment,4.174387269895637,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,3.610917912644224,1.0,7.387090235656757,54.5691021497354,403.10688165886654,2604996.0,4204463544.0,4.564348191467836,3.0,0,0,0
House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,99.0,5.0,1.5,95.0,4.0,1.0,0.57,0.0,3.0,5.0,211.0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,99.0,7223675,Hackney,flexible,Entire home/apt,House,4.59511985013459,25.0,1.6094379124341005,2.590290393980234,1.6094379124341005,1.0,1.6094379124341005,1.0,5.356586274672012,28.693016518004587,153.6966184592807,44521.0,9393931.0,4.553876891600541,3.0,0,0,0
Apartment,Private room,Private,strict,Real Bed,Hackney,30.0,2.0,1.5,100.0,2.0,1.0,0.17,10.0,1.0,1.0,357.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,30.0,9912180,Hackney,strict,Private room,Apartment,3.4011973816621555,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,1.0986122886681098,1.0,5.8805329864007,34.58066820414674,203.35276006626276,127449.0,45499293.0,4.605170185988092,1.0,0,0,0
Apartment,Private room,Private,flexible,Real Bed,Hackney,50.0,2.0,1.5,96.0,0.0,1.0,0.52,10.0,1.0,1.0,405.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,50.0,6414960,Hackney,flexible,Private room,Apartment,3.912023005428146,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,1.0,1,1,1
House,Private room,Private,strict,Real Bed,Hackney,100.0,1.0,1.0,96.0,0.0,1.0,0.52,0.0,5.0,1.0,405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,4592380,Hackney,strict,Private room,House,4.605170185988092,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,3.0,1,1,1
Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,80.0,3.0,1.0,96.0,0.0,1.0,0.52,0.0,3.0,1.0,405.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,80.0,11921679,Hackney,flexible,Entire home/apt,Apartment,4.382026634673881,9.0,1.0986122886681098,1.206948960812582,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,3.0,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,65.0,4.0,1.0,81.0,18.0,1.0,0.59,0.0,2.0,2.0,922.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,65.0,3359965,Hackney,strict,Entire home/apt,Apartment,4.174387269895637,16.0,1.3862943611198906,1.9218120556728056,0.6931471805599453,1.0,2.9444389791664403,1.0,6.827629234502852,46.616520963838,318.28032134351537,850084.0,783777448.0,4.394449154672439,2.0,0,0,0
Apartment,Private room,Private,flexible,Real Bed,Hackney,50.0,2.0,1.0,97.0,1.0,1.0,0.03,0.0,1.0,1.0,1158.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,50.0,2081655,Hackney,flexible,Private room,Apartment,3.912023005428146,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.6931471805599453,1.0,7.055312843339752,49.77743931739485,351.195406924581,1340964.0,1552836312.0,4.574710978503383,1.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,75.0,2.0,1.0,87.0,3.0,1.0,0.7,0.0,6.0,2.0,127.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,75.0,15332139,Hackney,flexible,Entire home/apt,Apartment,4.31748811353631,4.0,0.6931471805599453,0.4804530139182014,0.6931471805599453,1.0,1.3862943611198906,1.0,4.852030263919617,23.542197681991865,114.22745563220279,16129.0,2048383.0,4.465908118654584,3.0,0,0,0
House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,200.0,6.0,2.5,96.0,0.0,1.0,0.52,0.0,3.0,3.0,405.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,200.0,16171625,Hackney,moderate,Entire home/apt,House,5.298317366548036,36.0,1.791759469228055,3.210401995568401,1.0986122886681098,2.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,3.0,1,1,1
House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,160.0,6.0,1.5,100.0,2.0,1.0,0.08,0.0,6.0,6.0,794.0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,160.0,3517531,Hackney,strict,Entire home/apt,House,5.075173815233827,36.0,1.791759469228055,3.210401995568401,1.791759469228055,1.0,1.0986122886681098,1.0,6.678342114654332,44.600253400365695,297.8557506079173,630436.0,500566184.0,4.605170185988092,3.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,177.0,5.0,1.0,96.0,0.0,1.0,0.52,0.0,3.0,3.0,405.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,177.0,13758771,Hackney,strict,Entire home/apt,Apartment,5.176149732573829,25.0,1.6094379124341005,2.590290393980234,1.0986122886681098,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,3.0,1,1,1
Apartment,Private room,Private,moderate,Real Bed,Hackney,30.0,2.0,1.0,97.0,38.0,1.0,0.65,10.0,1.0,1.0,1766.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30.0,373284,Hackney,moderate,Private room,Apartment,3.4011973816621555,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,3.6635616461296463,1.0,7.4770384723196965,55.90610431654886,418.01209281235407,3118756.0,5507723096.0,4.574710978503383,1.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,150.0,3.0,2.0,100.0,2.0,2.0,0.23,50.0,2.0,2.0,260.0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,150.0,13352768,Hackney,moderate,Entire home/apt,Apartment,5.010635294096256,9.0,1.0986122886681098,1.206948960812582,0.6931471805599453,2.0,1.0986122886681098,1.0,5.564520407322694,30.963887363510718,172.29918312429666,67600.0,17576000.0,4.605170185988092,2.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,90.0,2.0,1.0,100.0,7.0,1.0,1.74,0.0,3.0,1.0,120.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,90.0,15593882,Hackney,moderate,Entire home/apt,Apartment,4.499809670330265,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,2.079441541679836,1.0,4.795790545596741,22.99960695723509,110.30129759794907,14400.0,1728000.0,4.605170185988092,3.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,99.0,6.0,2.0,100.0,4.0,4.0,0.6,15.0,5.0,4.0,200.0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,99.0,14065753,Hackney,moderate,Entire home/apt,Apartment,4.59511985013459,36.0,1.791759469228055,3.210401995568401,1.3862943611198906,2.0,1.6094379124341005,1.0,5.303304908059076,28.125042947843482,149.15567830467063,40000.0,8000000.0,4.605170185988092,3.0,0,0,0
House,Entire home/apt,Entire/Apt,moderate,Couch,Hackney,63.0,3.0,1.5,100.0,2.0,1.0,0.29,0.0,3.0,1.0,207.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,63.0,13891875,Hackney,moderate,Entire home/apt,House,4.143134726391533,9.0,1.0986122886681098,1.206948960812582,0.0,1.0,1.0986122886681098,1.0,5.337538079701318,28.489312752261633,152.0627916797168,42849.0,8869743.0,4.605170185988092,3.0,0,0,0
House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,65.0,6.0,1.5,92.0,5.0,1.0,0.26,0.0,1.0,4.0,574.0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,65.0,7438923,Hackney,moderate,Entire home/apt,House,4.174387269895637,36.0,1.791759469228055,3.210401995568401,1.3862943611198906,1.0,1.791759469228055,1.0,6.354370040797351,40.37801861538293,256.57687179634695,329476.0,189119224.0,4.5217885770490405,1.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,73.0,2.0,1.0,92.0,14.0,1.0,0.7,0.0,2.0,1.0,595.0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,73.0,6223729,Hackney,strict,Entire home/apt,Apartment,4.290459441148391,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,2.70805020110221,1.0,6.39024066706535,40.835175783015806,260.94660093538977,354025.0,210644875.0,4.5217885770490405,2.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,75.0,2.0,1.0,96.0,0.0,1.0,0.52,0.0,5.0,1.0,405.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,75.0,16715603,Hackney,flexible,Entire home/apt,Apartment,4.31748811353631,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,3.0,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,80.0,4.0,1.0,86.0,21.0,2.0,0.38,10.0,2.0,2.0,1678.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,80.0,367756,Hackney,strict,Entire home/apt,Apartment,4.382026634673881,16.0,1.3862943611198906,1.9218120556728056,0.6931471805599453,1.0,3.091042453358316,1.0,7.425953657077541,55.1447877170633,409.50263801629086,2815684.0,4724717752.0,4.454347296253507,2.0,0,0,0
